,1,2,3
GCN,"{'micro_f1': 0.09950248756218906, 'macro_f1': 0.011358353379381706, 'accuracy': 0.09950248756218906}","{'micro_f1': 0.1890547263681592, 'macro_f1': 0.05746393852484345, 'accuracy': 0.1890547263681592}","{'micro_f1': 0.31840796019900497, 'macro_f1': 0.1508650194540139, 'accuracy': 0.31840796019900497}"
GAT,"{'micro_f1': 0.11940298507462686, 'macro_f1': 0.015416387490510617, 'accuracy': 0.11940298507462686}","{'micro_f1': 0.19402985074626866, 'macro_f1': 0.05396288480603686, 'accuracy': 0.19402985074626866}","{'micro_f1': 0.26865671641791045, 'macro_f1': 0.11900576249680392, 'accuracy': 0.26865671641791045}"
GraphSAGE,"{'micro_f1': 0.2537313432835821, 'macro_f1': 0.1181785185458974, 'accuracy': 0.2537313432835821}","{'micro_f1': 0.208955223880597, 'macro_f1': 0.11295493347825317, 'accuracy': 0.208955223880597}","{'micro_f1': 0.3681592039800995, 'macro_f1': 0.20844904607315845, 'accuracy': 0.3681592039800995}"
GraphTransformer,"{'micro_f1': 0.1791044776119403, 'macro_f1': 0.10220209311212815, 'accuracy': 0.1791044776119403}","{'micro_f1': 0.1791044776119403, 'macro_f1': 0.08331469120942805, 'accuracy': 0.1791044776119403}","{'micro_f1': 0.27860696517412936, 'macro_f1': 0.13068392287008604, 'accuracy': 0.27860696517412936}"
