,micro_f1,macro_f1,accuracy,train_losses,val_f1_scores
GCN,0.13432835820895522,0.023658378402145713,0.13432835820895522,"[np.float64(3.729923129081726), np.float64(3.6600452661514282), np.float64(3.5911890268325806), np.float64(3.5229827165603638), np.float64(3.462668538093567), np.float64(3.4107450246810913), np.float64(3.3692184686660767), np.float64(3.349597215652466), np.float64(3.3325167894363403), np.float64(3.310468554496765), np.float64(3.2817517518997192), np.float64(3.2655656337738037), np.float64(3.2558549642562866), np.float64(3.2518423795700073), np.float64(3.2286202907562256), np.float64(3.226658582687378), np.float64(3.208841562271118), np.float64(3.195418357849121), np.float64(3.191215991973877), np.float64(3.1752984523773193), np.float64(3.16732394695282), np.float64(3.158158302307129), np.float64(3.1484023332595825), np.float64(3.1371697187423706), np.float64(3.122595191001892), np.float64(3.113801598548889), np.float64(3.120356321334839), np.float64(3.105758786201477), np.float64(3.0905258655548096), np.float64(3.093661904335022), np.float64(3.0829259157180786), np.float64(3.080924153327942), np.float64(3.0660213232040405), np.float64(3.0491138696670532), np.float64(3.042552351951599), np.float64(3.04066801071167), np.float64(3.0337231159210205), np.float64(3.0247186422348022), np.float64(3.007532238960266), np.float64(3.0001543760299683), np.float64(3.00670063495636), np.float64(2.9952712059020996), np.float64(3.002167224884033), np.float64(3.0056275129318237), np.float64(2.992402672767639), np.float64(2.9785162210464478), np.float64(2.9794907569885254), np.float64(2.965896725654602), np.float64(2.9612529277801514), np.float64(2.9751296043395996), np.float64(2.9649304151535034), np.float64(2.9627429246902466), np.float64(2.964319586753845), np.float64(2.9627904891967773), np.float64(2.9488182067871094), np.float64(2.942438244819641), np.float64(2.944225549697876), np.float64(2.932888388633728), np.float64(2.9490528106689453), np.float64(2.945235252380371), np.float64(2.929018259048462), np.float64(2.931939721107483), np.float64(2.9197582006454468), np.float64(2.9230960607528687), np.float64(2.92987060546875)]","[0.07960199004975124, 0.12437810945273632, 0.13432835820895522, 0.11442786069651742, 0.11442786069651742, 0.11442786069651742, 0.11442786069651742, 0.11442786069651742, 0.11442786069651742, 0.11442786069651742, 0.11940298507462686, 0.13930348258706468, 0.18407960199004975, 0.19402985074626866, 0.21393034825870647, 0.21393034825870647, 0.208955223880597, 0.208955223880597, 0.208955223880597, 0.20398009950248755, 0.19900497512437812, 0.1890547263681592, 0.18407960199004975, 0.1791044776119403, 0.17412935323383086, 0.1791044776119403, 0.17412935323383086, 0.1691542288557214, 0.16417910447761194, 0.17412935323383086, 0.1791044776119403, 0.18407960199004975, 0.18407960199004975, 0.17412935323383086, 0.17412935323383086, 0.1791044776119403, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.19900497512437812, 0.19900497512437812, 0.20398009950248755, 0.208955223880597, 0.20398009950248755, 0.19900497512437812, 0.19900497512437812, 0.20398009950248755, 0.19402985074626866, 0.19900497512437812, 0.20398009950248755, 0.208955223880597, 0.208955223880597, 0.208955223880597, 0.208955223880597, 0.20398009950248755, 0.208955223880597, 0.20398009950248755, 0.19900497512437812, 0.208955223880597, 0.19900497512437812, 0.20398009950248755, 0.208955223880597, 0.208955223880597, 0.208955223880597]"
GAT,0.17412935323383086,0.051777041920592244,0.17412935323383086,"[np.float64(3.6840779781341553), np.float64(3.4929330348968506), np.float64(3.4532700777053833), np.float64(3.4645036458969116), np.float64(3.3960591554641724), np.float64(3.3977454900741577), np.float64(3.3470704555511475), np.float64(3.3603001832962036), np.float64(3.3460028171539307), np.float64(3.3277320861816406), np.float64(3.3267509937286377), np.float64(3.2937355041503906), np.float64(3.3051904439926147), np.float64(3.2912349700927734), np.float64(3.272294759750366), np.float64(3.285942316055298), np.float64(3.2592421770095825), np.float64(3.2384066581726074), np.float64(3.2326468229293823), np.float64(3.232331156730652), np.float64(3.2271424531936646), np.float64(3.2359899282455444), np.float64(3.2271770238876343), np.float64(3.2288511991500854), np.float64(3.2023240327835083), np.float64(3.199020504951477), np.float64(3.180840253829956), np.float64(3.1478183269500732), np.float64(3.164139986038208), np.float64(3.1721726655960083), np.float64(3.18390429019928), np.float64(3.1408298015594482), np.float64(3.1446950435638428), np.float64(3.1747483015060425), np.float64(3.15670108795166), np.float64(3.12302029132843), np.float64(3.12433123588562), np.float64(3.1475954055786133), np.float64(3.1166311502456665), np.float64(3.0982402563095093), np.float64(3.0967925786972046), np.float64(3.109451651573181), np.float64(3.0857577323913574), np.float64(3.094457268714905), np.float64(3.1100921630859375), np.float64(3.1126115322113037), np.float64(3.1077369451522827), np.float64(3.1218502521514893), np.float64(3.0842071771621704), np.float64(3.048838257789612), np.float64(3.1101462841033936), np.float64(3.071987748146057), np.float64(3.0684984922409058), np.float64(3.037065863609314), np.float64(3.0985084772109985), np.float64(3.0421983003616333), np.float64(3.0386263132095337), np.float64(3.055383086204529), np.float64(3.0602924823760986), np.float64(3.0487358570098877), np.float64(3.027867317199707), np.float64(3.0726319551467896), np.float64(3.0470545291900635), np.float64(3.0076820850372314), np.float64(3.0540952682495117), np.float64(3.0021591186523438), np.float64(2.9966753721237183), np.float64(3.018268585205078), np.float64(3.0020447969436646), np.float64(2.9952129125595093), np.float64(2.961688280105591), np.float64(2.9874634742736816), np.float64(3.0493955612182617), np.float64(3.000662326812744), np.float64(3.0519533157348633), np.float64(3.0198822021484375), np.float64(3.0282344818115234), np.float64(3.048622488975525), np.float64(2.976859211921692), np.float64(3.029307007789612), np.float64(2.9730823040008545), np.float64(2.995784282684326), np.float64(2.9656307697296143), np.float64(2.997205972671509), np.float64(3.0193949937820435), np.float64(2.9783430099487305), np.float64(3.0137583017349243), np.float64(2.968464732170105), np.float64(3.0037206411361694), np.float64(2.9609345197677612), np.float64(3.0002570152282715), np.float64(2.967281222343445), np.float64(2.9820406436920166), np.float64(2.9961743354797363), np.float64(2.951844096183777), np.float64(3.002966046333313), np.float64(3.0098410844802856), np.float64(3.003337264060974), np.float64(2.9458659887313843), np.float64(2.9756582975387573), np.float64(2.9493385553359985), np.float64(2.948325753211975), np.float64(2.9656076431274414), np.float64(2.942605137825012), np.float64(2.948449969291687), np.float64(2.9611812829971313), np.float64(2.965327024459839), np.float64(2.9362268447875977), np.float64(2.9469608068466187), np.float64(2.952254295349121), np.float64(2.963234305381775), np.float64(2.9443790912628174), np.float64(2.9411853551864624), np.float64(2.93397855758667), np.float64(2.9738374948501587), np.float64(2.932983160018921), np.float64(3.023380398750305), np.float64(2.9391270875930786), np.float64(2.965473175048828), np.float64(2.947473168373108), np.float64(2.9542205333709717), np.float64(2.9300559759140015), np.float64(2.9720598459243774), np.float64(2.9270468950271606), np.float64(2.9232102632522583), np.float64(2.931902289390564), np.float64(2.9463815689086914), np.float64(2.9365522861480713), np.float64(2.976685881614685), np.float64(2.9485256671905518), np.float64(2.9009804725646973), np.float64(2.938063621520996), np.float64(2.957152247428894), np.float64(2.988888144493103), np.float64(2.913012146949768), np.float64(2.9382925033569336), np.float64(2.95931875705719), np.float64(2.904200315475464), np.float64(2.9173940420150757)]","[0.10945273631840796, 0.10945273631840796, 0.10945273631840796, 0.1791044776119403, 0.18407960199004975, 0.15422885572139303, 0.11940298507462686, 0.11940298507462686, 0.11940298507462686, 0.16417910447761194, 0.19402985074626866, 0.20398009950248755, 0.19900497512437812, 0.19402985074626866, 0.1890547263681592, 0.19402985074626866, 0.19402985074626866, 0.20398009950248755, 0.20398009950248755, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.1890547263681592, 0.19402985074626866, 0.19402985074626866, 0.19900497512437812, 0.19900497512437812, 0.19900497512437812, 0.20398009950248755, 0.19900497512437812, 0.19900497512437812, 0.19900497512437812, 0.19900497512437812, 0.19900497512437812, 0.19402985074626866, 0.1890547263681592, 0.19402985074626866, 0.19402985074626866, 0.19900497512437812, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.1890547263681592, 0.19402985074626866, 0.19402985074626866, 0.19402985074626866, 0.20398009950248755, 0.19900497512437812, 0.19900497512437812, 0.19900497512437812, 0.19402985074626866, 0.20398009950248755, 0.19900497512437812, 0.21393034825870647, 0.21393034825870647, 0.208955223880597, 0.22388059701492538, 0.20398009950248755, 0.19900497512437812, 0.20398009950248755, 0.21393034825870647, 0.21393034825870647, 0.208955223880597, 0.20398009950248755, 0.208955223880597, 0.208955223880597, 0.208955223880597, 0.21393034825870647, 0.21890547263681592, 0.22885572139303484, 0.21393034825870647, 0.20398009950248755, 0.19900497512437812, 0.21890547263681592, 0.22388059701492538, 0.21890547263681592, 0.208955223880597, 0.20398009950248755, 0.19900497512437812, 0.21393034825870647, 0.22388059701492538, 0.22885572139303484, 0.208955223880597, 0.22885572139303484, 0.23383084577114427, 0.21890547263681592, 0.21890547263681592, 0.23383084577114427, 0.22885572139303484, 0.23383084577114427, 0.21393034825870647, 0.21393034825870647, 0.22885572139303484, 0.21890547263681592, 0.21890547263681592, 0.21393034825870647, 0.208955223880597, 0.22388059701492538, 0.22388059701492538, 0.21890547263681592, 0.208955223880597, 0.21890547263681592, 0.22388059701492538, 0.21890547263681592, 0.21890547263681592, 0.21393034825870647, 0.20398009950248755, 0.21393034825870647, 0.21890547263681592, 0.22388059701492538, 0.21890547263681592, 0.22388059701492538, 0.21393034825870647, 0.21393034825870647, 0.20398009950248755, 0.20398009950248755, 0.21890547263681592, 0.21890547263681592, 0.21393034825870647, 0.208955223880597, 0.208955223880597, 0.21890547263681592, 0.21393034825870647, 0.21890547263681592, 0.208955223880597, 0.208955223880597, 0.21890547263681592, 0.21890547263681592, 0.20398009950248755, 0.208955223880597, 0.22388059701492538, 0.21393034825870647, 0.208955223880597, 0.208955223880597, 0.22388059701492538]"
GraphSAGE,0.1791044776119403,0.08470133667502087,0.1791044776119403,"[np.float64(3.8466254472732544), np.float64(3.4303892850875854), np.float64(3.35237717628479), np.float64(3.2610334157943726), np.float64(3.2336201667785645), np.float64(3.1859241724014282), np.float64(3.1547160148620605), np.float64(3.123053789138794), np.float64(3.0858994722366333), np.float64(3.056029200553894), np.float64(3.0543347597122192), np.float64(3.0253467559814453), np.float64(3.0031081438064575), np.float64(2.9829277992248535), np.float64(2.980733036994934), np.float64(2.9629985094070435), np.float64(2.9329644441604614), np.float64(2.919232487678528), np.float64(2.9227107763290405), np.float64(2.8885751962661743), np.float64(2.881282091140747), np.float64(2.8350062370300293), np.float64(2.8648040294647217), np.float64(2.8349629640579224), np.float64(2.8230661153793335), np.float64(2.8114103078842163), np.float64(2.8101049661636353), np.float64(2.799859881401062), np.float64(2.7930688858032227), np.float64(2.7703932523727417), np.float64(2.7788755893707275), np.float64(2.7762175798416138), np.float64(2.732187867164612), np.float64(2.733087420463562), np.float64(2.753136157989502), np.float64(2.714806079864502), np.float64(2.734316825866699), np.float64(2.711965560913086), np.float64(2.7331775426864624), np.float64(2.710632801055908), np.float64(2.7106525897979736), np.float64(2.6610028743743896), np.float64(2.678984761238098), np.float64(2.700281023979187), np.float64(2.6862932443618774), np.float64(2.6712859869003296), np.float64(2.644516110420227), np.float64(2.661882162094116), np.float64(2.631488084793091), np.float64(2.6629836559295654), np.float64(2.620646834373474), np.float64(2.6054142713546753), np.float64(2.6344974040985107), np.float64(2.629492998123169), np.float64(2.6850435733795166), np.float64(2.6374120712280273), np.float64(2.637419819831848), np.float64(2.6328370571136475), np.float64(2.6161829233169556), np.float64(2.6051390171051025), np.float64(2.6064857244491577), np.float64(2.5918716192245483), np.float64(2.593730926513672), np.float64(2.644315004348755), np.float64(2.5501142740249634), np.float64(2.5426177978515625), np.float64(2.595508098602295), np.float64(2.5923120975494385), np.float64(2.5940873622894287), np.float64(2.5488412380218506), np.float64(2.6004676818847656), np.float64(2.593300700187683), np.float64(2.532089114189148), np.float64(2.5757585763931274), np.float64(2.5473902225494385), np.float64(2.5727187395095825), np.float64(2.554277777671814), np.float64(2.5492167472839355), np.float64(2.570982813835144), np.float64(2.578776717185974), np.float64(2.5486831665039062), np.float64(2.5632402896881104), np.float64(2.542780637741089)]","[0.1044776119402985, 0.11442786069651742, 0.11442786069651742, 0.12437810945273632, 0.1691542288557214, 0.1890547263681592, 0.21393034825870647, 0.21393034825870647, 0.21890547263681592, 0.208955223880597, 0.21890547263681592, 0.21890547263681592, 0.21890547263681592, 0.21393034825870647, 0.21393034825870647, 0.208955223880597, 0.1890547263681592, 0.20398009950248755, 0.208955223880597, 0.208955223880597, 0.21393034825870647, 0.21393034825870647, 0.21890547263681592, 0.21890547263681592, 0.21890547263681592, 0.22388059701492538, 0.22388059701492538, 0.22885572139303484, 0.22885572139303484, 0.23880597014925373, 0.23880597014925373, 0.23880597014925373, 0.24378109452736318, 0.22388059701492538, 0.21393034825870647, 0.21393034825870647, 0.23383084577114427, 0.21393034825870647, 0.22388059701492538, 0.21393034825870647, 0.208955223880597, 0.22885572139303484, 0.23880597014925373, 0.23383084577114427, 0.23880597014925373, 0.22388059701492538, 0.21890547263681592, 0.21890547263681592, 0.21393034825870647, 0.22388059701492538, 0.22388059701492538, 0.22885572139303484, 0.23383084577114427, 0.23383084577114427, 0.22388059701492538, 0.23383084577114427, 0.23880597014925373, 0.23383084577114427, 0.23383084577114427, 0.21890547263681592, 0.21890547263681592, 0.22885572139303484, 0.22388059701492538, 0.22885572139303484, 0.22388059701492538, 0.22388059701492538, 0.22388059701492538, 0.23383084577114427, 0.22885572139303484, 0.23383084577114427, 0.22885572139303484, 0.23383084577114427, 0.23880597014925373, 0.22388059701492538, 0.23880597014925373, 0.23880597014925373, 0.23383084577114427, 0.23383084577114427, 0.23880597014925373, 0.23383084577114427, 0.23880597014925373, 0.22885572139303484, 0.22885572139303484]"
GraphTransformer,0.1691542288557214,0.07885731950454423,0.1691542288557214,"[np.float64(3.7379497289657593), np.float64(3.3745919466018677), np.float64(3.3160829544067383), np.float64(3.296308755874634), np.float64(3.2880338430404663), np.float64(3.296432137489319), np.float64(3.2480506896972656), np.float64(3.2386456727981567), np.float64(3.2001959085464478), np.float64(3.188533306121826), np.float64(3.1914563179016113), np.float64(3.1670119762420654), np.float64(3.13757061958313), np.float64(3.120015501976013), np.float64(3.1585816144943237), np.float64(3.1361894607543945), np.float64(3.042043685913086), np.float64(3.0487310886383057), np.float64(2.968218207359314), np.float64(2.986030101776123), np.float64(2.977426290512085), np.float64(2.9278416633605957), np.float64(2.8854942321777344), np.float64(2.9282376766204834), np.float64(2.887321949005127), np.float64(2.874525547027588), np.float64(2.881983518600464), np.float64(2.8224862813949585), np.float64(2.837140917778015), np.float64(2.80292546749115), np.float64(2.8113211393356323), np.float64(2.815476417541504), np.float64(2.826744318008423), np.float64(2.750447988510132), np.float64(2.7852550745010376), np.float64(2.746602416038513), np.float64(2.7452826499938965), np.float64(2.7707576751708984), np.float64(2.733918309211731), np.float64(2.7168996334075928), np.float64(2.7157771587371826), np.float64(2.712802767753601), np.float64(2.714938163757324), np.float64(2.689431667327881), np.float64(2.690890908241272), np.float64(2.717045783996582), np.float64(2.6392569541931152), np.float64(2.6659950017929077), np.float64(2.633491635322571), np.float64(2.6372694969177246), np.float64(2.6379432678222656), np.float64(2.629178285598755), np.float64(2.614883780479431), np.float64(2.6477692127227783), np.float64(2.6210402250289917), np.float64(2.632405161857605), np.float64(2.639333486557007), np.float64(2.6134499311447144), np.float64(2.6202268600463867), np.float64(2.64567494392395), np.float64(2.594728946685791), np.float64(2.5991896390914917), np.float64(2.6277856826782227), np.float64(2.619140625), np.float64(2.583077549934387), np.float64(2.5682061910629272), np.float64(2.5622808933258057), np.float64(2.579352021217346), np.float64(2.5583701133728027), np.float64(2.5549358129501343), np.float64(2.516918182373047), np.float64(2.54287588596344), np.float64(2.5497952699661255), np.float64(2.5261011123657227), np.float64(2.543920397758484), np.float64(2.531710624694824), np.float64(2.4985615015029907), np.float64(2.497905969619751), np.float64(2.5326690673828125), np.float64(2.4931541681289673), np.float64(2.503698229789734), np.float64(2.525078296661377), np.float64(2.4681137800216675), np.float64(2.4761677980422974), np.float64(2.478504776954651), np.float64(2.5015408992767334), np.float64(2.446185827255249), np.float64(2.5388901233673096), np.float64(2.488999843597412), np.float64(2.491220474243164), np.float64(2.500412344932556), np.float64(2.4759196043014526), np.float64(2.4446895122528076), np.float64(2.4293806552886963), np.float64(2.442790150642395), np.float64(2.4367369413375854), np.float64(2.452479124069214), np.float64(2.419057846069336), np.float64(2.4037591218948364), np.float64(2.4300702810287476), np.float64(2.41693651676178)]","[0.11940298507462686, 0.12437810945273632, 0.11442786069651742, 0.11442786069651742, 0.14427860696517414, 0.13432835820895522, 0.12935323383084577, 0.1791044776119403, 0.19900497512437812, 0.17412935323383086, 0.1691542288557214, 0.1691542288557214, 0.20398009950248755, 0.17412935323383086, 0.1791044776119403, 0.19402985074626866, 0.14427860696517414, 0.18407960199004975, 0.19900497512437812, 0.208955223880597, 0.1890547263681592, 0.21393034825870647, 0.19402985074626866, 0.20398009950248755, 0.21393034825870647, 0.21890547263681592, 0.20398009950248755, 0.23383084577114427, 0.23880597014925373, 0.23383084577114427, 0.22885572139303484, 0.21393034825870647, 0.24875621890547264, 0.24378109452736318, 0.24875621890547264, 0.21393034825870647, 0.23880597014925373, 0.24378109452736318, 0.20398009950248755, 0.24378109452736318, 0.24875621890547264, 0.23880597014925373, 0.22885572139303484, 0.23880597014925373, 0.24875621890547264, 0.22885572139303484, 0.2537313432835821, 0.24875621890547264, 0.24378109452736318, 0.21393034825870647, 0.26865671641791045, 0.23383084577114427, 0.23383084577114427, 0.24875621890547264, 0.23880597014925373, 0.24378109452736318, 0.22388059701492538, 0.23880597014925373, 0.23880597014925373, 0.263681592039801, 0.26865671641791045, 0.2537313432835821, 0.24875621890547264, 0.25870646766169153, 0.24875621890547264, 0.25870646766169153, 0.23880597014925373, 0.263681592039801, 0.25870646766169153, 0.23880597014925373, 0.24378109452736318, 0.22885572139303484, 0.24875621890547264, 0.22885572139303484, 0.263681592039801, 0.24378109452736318, 0.22885572139303484, 0.24378109452736318, 0.23880597014925373, 0.23383084577114427, 0.24875621890547264, 0.24875621890547264, 0.24378109452736318, 0.23880597014925373, 0.22388059701492538, 0.2537313432835821, 0.23880597014925373, 0.24875621890547264, 0.23880597014925373, 0.25870646766169153, 0.24378109452736318, 0.22388059701492538, 0.24378109452736318, 0.263681592039801, 0.2537313432835821, 0.22388059701492538, 0.23880597014925373, 0.24378109452736318, 0.23880597014925373, 0.2537313432835821, 0.23880597014925373]"
