,0.0,0.3,0.5,0.7
GCN,"{'micro_f1': 0.14427860696517414, 'macro_f1': 0.02790654817618602, 'accuracy': 0.14427860696517414}","{'micro_f1': 0.13930348258706468, 'macro_f1': 0.02587986438965631, 'accuracy': 0.13930348258706468}","{'micro_f1': 0.14427860696517414, 'macro_f1': 0.027233665666439016, 'accuracy': 0.14427860696517414}","{'micro_f1': 0.13930348258706468, 'macro_f1': 0.029197456409018267, 'accuracy': 0.13930348258706468}"
GAT,"{'micro_f1': 0.2736318407960199, 'macro_f1': 0.12433062501120577, 'accuracy': 0.2736318407960199}","{'micro_f1': 0.19900497512437812, 'macro_f1': 0.058159912951849066, 'accuracy': 0.19900497512437812}","{'micro_f1': 0.1890547263681592, 'macro_f1': 0.04169572864702382, 'accuracy': 0.1890547263681592}","{'micro_f1': 0.14925373134328357, 'macro_f1': 0.01945758048135823, 'accuracy': 0.14925373134328357}"
GraphSAGE,"{'micro_f1': 0.3034825870646766, 'macro_f1': 0.1854287459571969, 'accuracy': 0.3034825870646766}","{'micro_f1': 0.22885572139303484, 'macro_f1': 0.11042336189837006, 'accuracy': 0.22885572139303484}","{'micro_f1': 0.19900497512437812, 'macro_f1': 0.08500685836821796, 'accuracy': 0.19900497512437812}","{'micro_f1': 0.18407960199004975, 'macro_f1': 0.08878044775368386, 'accuracy': 0.18407960199004975}"
GraphTransformer,"{'micro_f1': 0.1890547263681592, 'macro_f1': 0.11775184947602223, 'accuracy': 0.1890547263681592}","{'micro_f1': 0.1890547263681592, 'macro_f1': 0.06970820702392895, 'accuracy': 0.1890547263681592}","{'micro_f1': 0.15920398009950248, 'macro_f1': 0.07438826232365274, 'accuracy': 0.15920398009950248}","{'micro_f1': 0.13432835820895522, 'macro_f1': 0.03740102332829328, 'accuracy': 0.13432835820895522}"
